"organization","match_name","ptr_end","docs_url"
"Amazon","ptr_crawler_amazon_main",".crawl.amazonbot.amazon",""
"Pinterest","ptr_crawler_pinterest",".pinterest.com|.pinterestcrawler.com","https://help.pinterest.com/en/business/article/pinterestbot"
"Qwant","ptr_crawler_qwant",".qwant.com","https://help.qwant.com/bot/"
"CommonCrawl","ptr_crawler_commoncrawl",".crawl.commoncrawl.org","https://commoncrawl.org/ccbot"
"Google","ptr_crawler_googlebot",".googlebot.com|.google.com",""
"Microsoft","ptr_crawler_bingbot",".search.msn.com",""
"Huawei","ptr_crawler_huawei_petalsearch",".petalsearch.com",""
"Mojeek","ptr_crawler_mojeek",".mojeek.com",""
"Babbar","ptr_crawler_babbar",".babbar.eu",""
"Facebook","ptr_crawler_facebook_proxy",".fbsv.net",""
"Mojeek","ptr_crawler_mojeek",".mojeek.com.","https://www.mojeek.com/bot.html"
"Sogou","ptr_crawler_sogou",".crawl.sogou.com",""
"Observer","ptr_crawler_observer",".crawl.obsrvr.net","https://obsrvr.net/about"
"Coc Coc","ptr_crawler_coccoc",".coccoc.com",""
